distance,1,2,3,4,5,6,7,8,9,10,11
62.94,0.95385661,1.07889553,0.80967306,0.9408967,0.97168065,0.77785263,1.04552068,0.79008063,0.85881819,0.89817989,0.77019551
63.319,0.95107504,1.10583547,0.80535941,0.9485482,1.00674807,0.7761865,1.00114017,0.80912033,0.84668491,0.8944541,0.79263091
63.699,0.95910808,1.10713348,0.80172973,0.96101777,1.02864719,0.7769071,0.99622577,0.81133093,0.88596783,0.90162949,0.79402467
64.078,0.95717539,1.09722924,0.80682811,0.99278619,1.02978279,0.7905059,1.03100269,0.82392533,0.90771828,0.8999101,0.80199206
64.457,0.96973631,1.1061082,0.80469796,1.01507972,1.01642302,0.80571539,1.092606,0.80953173,0.91272985,0.89778727,0.80034919
64.836,0.98832241,1.08370876,0.81744213,1.03436617,0.99499336,0.80946554,1.10176626,0.78358048,0.89856901,0.89437829,0.79234959
65.215,0.99268585,1.05893048,0.81934588,1.03169045,0.98193258,0.79291289,1.06557916,0.78179956,0.88709859,0.90818752,0.82770677
65.594,0.99425205,1.06221338,0.81588808,1.02171409,0.98810629,0.78827585,1.05913904,0.79628275,0.88792429,0.92445535,0.85353314
65.974,0.98683296,1.05535465,0.82791509,1.00013467,1.00592194,0.76132877,1.05144319,0.82115705,0.88489441,0.93791258,0.87153386
66.353,0.96949669,1.03250571,0.7895581,0.96416129,1.03214842,0.7404301,1.03548319,0.8457845,0.86299947,0.90215478,0.86175394
66.732,0.9568042,1.01423766,0.80587387,0.95016072,1.04627925,0.7552793,1.03564354,0.86732369,0.85916452,0.87274923,0.87629067
67.111,0.96000551,1.04315239,0.80258203,0.96290849,1.07012699,0.76794216,1.0376916,0.86212722,0.83745307,0.85759156,0.85677808
67.49,0.96078705,1.07087012,0.7982174,0.98012879,1.11025351,0.74879384,1.03910178,0.8368653,0.84471239,0.82460644,0.84911135
67.869,0.97870281,1.07329441,0.78890613,0.99902008,1.13905018,0.74442969,1.03038485,0.84148397,0.84842348,0.82069382,0.8551395
68.249,1.02255015,1.08012788,0.80835253,1.04648843,1.14566188,0.75311748,1.01641867,0.84625624,0.85421717,0.83798786,0.86119129
68.628,1.05414197,1.09824946,0.83063557,1.07064256,1.14058181,0.77931943,1.02101354,0.84671884,0.85475388,0.83852669,0.89694361
69.007,1.06520874,1.1181741,0.84230815,1.04182984,1.14139221,0.75634209,1.04855091,0.84745936,0.86026546,0.85278811,0.91355702
69.386,1.0662487,1.12005293,0.83610854,1.00099409,1.13718548,0.73944513,1.06035231,0.84676455,0.86497198,0.89007576,0.9332178
69.765,1.05008238,1.10923453,0.82501562,0.99054815,1.12654802,0.74400436,1.07133778,0.8319431,0.86782755,0.93516698,0.93910422
70.144,1.02745236,1.10657791,0.83589872,0.99443415,1.11325119,0.74495948,1.09349738,0.8296813,0.85918746,0.94885708,0.92318017
70.523,1.01986255,1.1409877,0.85120098,1.01674717,1.10360509,0.74673009,1.07606589,0.83383006,0.8783851,0.93498557,0.908113
70.903,1.01894946,1.17578638,0.85373417,1.05090957,1.10250358,0.76914032,1.04038108,0.85916878,0.91499595,0.91456414,0.89621774
71.282,1.01901054,1.16897816,0.846898,1.05810212,1.1164246,0.76793896,1.00635641,0.87083981,0.94183825,0.91762113,0.88787453
