distance,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
39.432,0.25249357,0.24755127,0.20446932,0.21243032,0.21648791,0.23514457,0.29578668,0.33304598
39.812,0.25361208,0.24576824,0.19602087,0.20993427,0.2149856,0.23911704,0.32161543,0.32769079
40.191,0.23763592,0.24272058,0.19038857,0.22052306,0.20111269,0.2314834,0.33057737,0.31667738
40.57,0.250418,0.22592706,0.18665946,0.22046205,0.19667264,0.22771198,0.32477951,0.31663036
40.949,0.26285414,0.24682863,0.18812723,0.2302521,0.21098243,0.24298899,0.31500965,0.32632195
41.328,0.28369637,0.24928718,0.19609812,0.23913803,0.19911556,0.2368503,0.30333563,0.33332288
41.707,0.26051912,0.24975061,0.19868252,0.24584408,0.18596928,0.25026916,0.29785099,0.34375114
42.087,0.2767259,0.23706514,0.20220095,0.2314613,0.2039791,0.2480316,0.30144929,0.33404388
42.466,0.26196049,0.2351957,0.21097245,0.22718474,0.21306871,0.24203559,0.30243517,0.32094586
42.845,0.24022462,0.2224631,0.21687864,0.21164268,0.21996951,0.24880015,0.3152837,0.33536047
43.224,0.2239256,0.24056837,0.21517209,0.22172671,0.245317,0.2590313,0.31483881,0.34911679
43.603,0.22966802,0.22443465,0.20866194,0.2144327,0.25696098,0.25029186,0.32729939,0.3604489
43.982,0.24415092,0.19593751,0.20739784,0.2030951,0.24134503,0.2505675,0.32212439,0.37137349
44.362,0.23874289,0.21868495,0.21006651,0.2062734,0.22321039,0.25359631,0.32398226,0.35024007
44.741,0.23984987,0.22036588,0.20085959,0.22348504,0.21052327,0.23966184,0.30012528,0.34644703
45.12,0.23949817,0.21423915,0.1906133,0.22265302,0.19848254,0.23202171,0.29117758,0.35781048
45.499,0.24029957,0.24119675,0.18898401,0.21610228,0.1865488,0.23233951,0.30053458,0.33129052
45.878,0.25944674,0.2369159,0.18541642,0.23370219,0.18733339,0.23033868,0.30115032,0.33225707
46.257,0.25356019,0.21583367,0.18349919,0.23293119,0.20176799,0.22546146,0.30394781,0.33648375
46.636,0.27099501,0.21114436,0.18786738,0.23027983,0.20259716,0.22979389,0.30117167,0.34043876
47.016,0.28014483,0.21522099,0.19285358,0.2088471,0.22512727,0.23292971,0.28495619,0.3315622
