,X,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y9,Y10,Y11,mean,std
39,29.0,1.6562495803119122,1.217918812282158,2.0284622872475264,2.071217159030552,2.229345847360682,2.1194290615681677,2.261579421083054,1.8074610657816905,2.744213893099858,2.306578622222386,1.374225679451332,1.9833346754035743,0.44095786431224526
40,30.0,1.4740563631932444,1.2353003104395297,1.9692687665977733,1.9080046657348315,1.8401223973763388,1.9551359856582071,2.0535055624224774,1.6278205944611637,2.658778638725055,1.9321633987863205,1.4813813721737383,1.8305034595971532,0.3783226649838066
41,31.0,1.3047960134505532,1.224305937208563,1.8817702037575617,1.8824665086145287,1.962254030435361,1.9315319572422758,1.9687425942868653,1.593709751219554,2.3418965891752945,1.7402815825026205,1.3345003833443263,1.7423868682943189,0.3438299845840895
42,32.0,1.4544669456856956,1.0813468138589188,1.9009543228628625,1.8407177324649235,1.868496831197835,1.9456468329937533,1.6919319386553882,1.4422805647566572,2.26343930537202,1.7333376148121917,1.4071604287788415,1.693616302858099,0.3259297945235465
43,33.0,1.3699397609640755,1.0429334352204458,1.805001175193055,1.7058439036413984,1.7997229332421045,1.8604377966903638,1.7012644567034712,1.3687471325569007,1.7208815370730566,1.4212525555212772,1.3401179345343803,1.5578311473945938,0.2612412887125394
44,34.0,1.2661940660218787,1.0494875236673504,1.6591545421729197,1.5731733760708662,1.6527208234158404,1.6843903325522338,1.39805048625433,1.376084877558485,1.9559891924448225,1.514565628101928,1.4099880583744064,1.503618082421369,0.2423798213507172
45,35.0,1.1624545524216998,1.0700881176029058,1.4080452502966148,1.3282897010021137,1.4603968840136388,1.4240960348676441,1.3257720684332592,1.2816505660541058,1.9299303879247802,1.2810330837657529,1.2601462661777907,1.3574457193236642,0.22109736201666547
46,36.0,1.1389449931327251,1.017542922092956,1.5890074045289748,1.4164003265943923,1.490362620618561,1.5518713951501006,1.3966191687972427,1.1581348770821496,1.7431598345631396,1.2033473827902181,1.403497895607153,1.3735353473597829,0.2211097911124531
47,37.0,1.1677785753232104,1.0181383596373108,1.3198257994374025,1.2165231765580626,1.2698812384541642,1.2914152798651906,1.2651466308316792,1.019073248792059,1.8492052856670764,1.2438240880683797,1.339867387353652,1.2727890063625624,0.21991637807780048
48,38.0,1.1970255735115694,0.9931534901912589,1.2077437907924475,1.180974824175022,1.3309488131154739,1.2098528466616878,1.1471998598085518,0.9754521275861324,1.443208998748246,1.1523400052362294,1.3402314459959694,1.1980119796202353,0.1395399575896868
49,39.0,1.0909139345712036,1.0821213337959745,1.3318749067831597,1.2672424572785541,1.4015046049150817,1.2684092472254442,1.062465148690369,1.1095156365312784,1.4874098131995186,0.8909714629702391,1.2025735794322319,1.1995456477630049,0.1726853395397133
50,40.0,1.0080564340573754,0.9488847490608564,1.1605351370803911,1.1506282022027179,1.1751073592750156,1.1173022101138705,0.8847034878911711,0.9634674400009127,1.5711211003895689,0.9351720350318872,1.1809413294827167,1.0996290440533167,0.19082051787406631
51,41.0,1.065976237949103,0.9341692655305777,1.2409769395047017,1.2728606869871613,1.3019593980595072,1.1933688051519933,1.133739959576396,1.0523984485108313,1.5547574647251932,0.8487035565212062,1.2548267119797272,1.1685215885905818,0.1932875226472457
52,42.0,1.1245509733378458,0.9151458770061951,1.2578792278640283,1.2694014614007507,1.201284348259374,1.186025528226917,0.9327157382527737,0.9125597816743545,1.4300531670377639,1.0915417445831945,1.2026823173085062,1.1385309240865185,0.16504321052447135
53,43.0,1.187653090941021,1.0324190469258625,1.1727997964082328,1.2180835541765613,1.2200550590005879,1.0968498583237665,0.9347673734688318,1.014373985005884,1.3310284582746443,1.0059662924650916,1.2321100006759595,1.1314642286969494,0.12220070621483223
54,44.0,0.9383533578362712,0.8072921442469218,1.1198481709087218,1.144820395316283,1.1560585473359957,1.0539836453988927,0.9185873749425667,0.8618247199977666,1.36662729588505,0.9495502030604264,1.0808611742028553,1.0361642753756135,0.1607404639358654
55,45.0,1.0266640994871128,0.9241154248098783,1.2051557707830647,1.2329719149199405,1.1732807638534988,1.1842186449845207,0.7603747310741692,0.9068152993520013,1.4667043962715762,0.9987862768504419,1.2041322759809372,1.0984745089424672,0.1963964285058964
56,46.0,1.1144202391475084,0.9898066350257262,1.0734571613229549,1.0807694791948468,1.0100379059153286,1.0421714490352745,0.8174090486607976,0.9469258137019982,1.42500212602404,0.9300033696073512,1.192810666603129,1.0566194449308144,0.1583003430591256
57,47.0,0.9858267292510773,0.8404353730322942,0.9076153593668846,0.9316301901233022,0.906330703506375,0.8970580937646774,0.7687784864462475,0.7432598219792156,1.446239371379266,0.9573442302369521,1.14932543109395,0.9576221627436584,0.1952212766719898
58,48.0,1.0041931329307487,0.9521396282846724,1.004511029205796,1.0249545183031457,0.9769337713594922,0.993273713114769,0.6966877058693036,0.9669960607285599,1.5153071456192166,0.8876634000038948,1.1547431941148156,1.0161275726849468,0.19896268848000967
59,49.0,0.988866784901005,0.9950916044413151,0.8713136187699722,0.8790039737938093,0.8382658914443867,0.8438044715676565,0.7090658990587795,0.8426202517626634,1.361204707824411,0.9163929991459051,1.279284238552822,0.956810403751157,0.19653350073213405
