distance,1,2,3,4,5,6,7,8,9,10
75.832,0.28424594,0.26404358,0.26176941,0.34614422,0.23083547,0.26675419,0.34707605,0.23315264,0.29948188,0.24729185
76.211,0.28561481,0.2592022,0.26007946,0.34196238,0.23483007,0.26524995,0.34390104,0.2289788,0.29742957,0.24398671
76.59,0.27803338,0.26402358,0.26060932,0.34015696,0.24188288,0.25862418,0.34703643,0.22307746,0.28849861,0.23751226
76.969,0.27226069,0.2637364,0.26422311,0.34221936,0.24336059,0.26120782,0.34902347,0.22358502,0.28422558,0.2401457
77.348,0.27388261,0.25468959,0.27136688,0.34478369,0.2416168,0.27127158,0.35419359,0.22365973,0.28209658,0.23984123
77.727,0.28011895,0.26336281,0.26748194,0.34461318,0.23428307,0.27511202,0.35131796,0.2240243,0.28421956,0.23682931
78.107,0.27376543,0.26903056,0.26128716,0.34497582,0.23003152,0.2789618,0.35149773,0.22157539,0.28491269,0.23341175
78.486,0.27159833,0.26980333,0.25878172,0.34781695,0.22885415,0.28785373,0.3448997,0.22986252,0.28316258,0.23220136
78.865,0.27696257,0.26724184,0.25845677,0.34558224,0.2270898,0.28442694,0.34775478,0.23499737,0.28053892,0.23205334
79.244,0.27550199,0.26923615,0.25560464,0.34415747,0.22501941,0.27282625,0.34969706,0.22890022,0.27495632,0.23308198
79.623,0.27299183,0.2682218,0.25855715,0.34452312,0.22389686,0.2690465,0.34858688,0.22627869,0.26722818,0.24584538
80.002,0.27437513,0.26564031,0.26321617,0.34283778,0.22903001,0.26315932,0.34808131,0.22455505,0.26488418,0.24921423
80.382,0.27114403,0.26762022,0.26882936,0.34047637,0.23527088,0.26198002,0.3457017,0.22776916,0.2711554,0.24118371
80.761,0.2664846,0.26008216,0.27641812,0.33624351,0.238232,0.26018165,0.34333824,0.22512058,0.27495783,0.23510929
81.14,0.26337832,0.24885465,0.27298439,0.33632816,0.23936598,0.26027129,0.34349307,0.22361465,0.26086074,0.23432609
81.519,0.26518282,0.25335445,0.26547118,0.33968804,0.24032637,0.26100333,0.33051714,0.22467485,0.25150578,0.23503809
81.898,0.26469539,0.26101012,0.26119402,0.33854847,0.23297437,0.26786626,0.331642,0.21687081,0.25400315,0.23427738
